species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Adelie,Torgersen,39.099998,18.700001,181,3750,male,2007
Adelie,Torgersen,39.5,17.4,186,3800,female,2007
Adelie,Torgersen,40.299999,18,195,3250,female,2007
Adelie,Torgersen,36.700001,19.299999,193,3450,female,2007
Adelie,Torgersen,39.299999,20.6,190,3650,male,2007
Adelie,Torgersen,38.900002,17.799999,181,3625,female,2007
Adelie,Torgersen,39.200001,19.6,195,4675,male,2007
Adelie,Torgersen,34.099998,18.1,193,3475,NA,2007
Adelie,Torgersen,42,20.200001,190,4250,NA,2007
Adelie,Torgersen,37.799999,17.1,186,3300,NA,2007
Adelie,Torgersen,37.799999,17.299999,180,3700,NA,2007
Adelie,Torgersen,41.099998,17.6,182,3200,female,2007
Adelie,Torgersen,38.599998,21.200001,191,3800,male,2007
Adelie,Torgersen,34.599998,21.1,198,4400,male,2007
Adelie,Torgersen,36.599998,17.799999,185,3700,female,2007
Adelie,Torgersen,38.700001,19,195,3450,female,2007
Adelie,Torgersen,42.5,20.700001,197,4500,male,2007
Adelie,Torgersen,34.400002,18.4,184,3325,female,2007
Adelie,Torgersen,46,21.5,194,4200,male,2007
Adelie,Biscoe,37.799999,18.299999,174,3400,female,2007
Adelie,Biscoe,37.700001,18.700001,180,3600,male,2007
Adelie,Biscoe,35.900002,19.200001,189,3800,female,2007
Adelie,Biscoe,38.200001,18.1,185,3950,male,2007
Adelie,Biscoe,38.799999,17.200001,180,3800,male,2007
Adelie,Biscoe,35.299999,18.9,187,3800,female,2007
Adelie,Biscoe,40.599998,18.6,183,3550,male,2007
Adelie,Biscoe,40.5,17.9,187,3200,female,2007
Adelie,Biscoe,37.900002,18.6,172,3150,female,2007
Adelie,Biscoe,40.5,18.9,180,3950,male,2007
Adelie,Dream,39.5,16.700001,178,3250,female,2007
Adelie,Dream,37.200001,18.1,178,3900,male,2007
Adelie,Dream,39.5,17.799999,188,3300,female,2007
Adelie,Dream,40.900002,18.9,184,3900,male,2007
Adelie,Dream,36.400002,17,195,3325,female,2007
Adelie,Dream,39.200001,21.1,196,4150,male,2007
Adelie,Dream,38.799999,20,190,3950,male,2007
Adelie,Dream,42.200001,18.5,180,3550,female,2007
Adelie,Dream,37.599998,19.299999,181,3300,female,2007
Adelie,Dream,39.799999,19.1,184,4650,male,2007
Adelie,Dream,36.5,18,182,3150,female,2007
Adelie,Dream,40.799999,18.4,195,3900,male,2007
Adelie,Dream,36,18.5,186,3100,female,2007
Adelie,Dream,44.099998,19.700001,196,4400,male,2007
Adelie,Dream,37,16.9,185,3000,female,2007
Adelie,Dream,39.599998,18.799999,190,4600,male,2007
Adelie,Dream,41.099998,19,182,3425,male,2007
Adelie,Dream,37.5,18.9,179,2975,NA,2007
Adelie,Dream,36,17.9,190,3450,female,2007
Adelie,Dream,42.299999,21.200001,191,4150,male,2007
Adelie,Biscoe,39.599998,17.700001,186,3500,female,2008
Adelie,Biscoe,40.099998,18.9,188,4300,male,2008
Adelie,Biscoe,35,17.9,190,3450,female,2008
Adelie,Biscoe,42,19.5,200,4050,male,2008
Adelie,Biscoe,34.5,18.1,187,2900,female,2008
Adelie,Biscoe,41.400002,18.6,191,3700,male,2008
Adelie,Biscoe,39,17.5,186,3550,female,2008
Adelie,Biscoe,40.599998,18.799999,193,3800,male,2008
Adelie,Biscoe,36.5,16.6,181,2850,female,2008
Adelie,Biscoe,37.599998,19.1,194,3750,male,2008
Adelie,Biscoe,35.700001,16.9,185,3150,female,2008
Adelie,Biscoe,41.299999,21.1,195,4400,male,2008
Adelie,Biscoe,37.599998,17,185,3600,female,2008
Adelie,Biscoe,41.099998,18.200001,192,4050,male,2008
Adelie,Biscoe,36.400002,17.1,184,2850,female,2008
Adelie,Biscoe,41.599998,18,192,3950,male,2008
Adelie,Biscoe,35.5,16.200001,195,3350,female,2008
Adelie,Biscoe,41.099998,19.1,188,4100,male,2008
Adelie,Torgersen,35.900002,16.6,190,3050,female,2008
Adelie,Torgersen,41.799999,19.4,198,4450,male,2008
Adelie,Torgersen,33.5,19,190,3600,female,2008
Adelie,Torgersen,39.700001,18.4,190,3900,male,2008
Adelie,Torgersen,39.599998,17.200001,196,3550,female,2008
Adelie,Torgersen,45.799999,18.9,197,4150,male,2008
Adelie,Torgersen,35.5,17.5,190,3700,female,2008
Adelie,Torgersen,42.799999,18.5,195,4250,male,2008
Adelie,Torgersen,40.900002,16.799999,191,3700,female,2008
Adelie,Torgersen,37.200001,19.4,184,3900,male,2008
Adelie,Torgersen,36.200001,16.1,187,3550,female,2008
Adelie,Torgersen,42.099998,19.1,195,4000,male,2008
Adelie,Torgersen,34.599998,17.200001,189,3200,female,2008
Adelie,Torgersen,42.900002,17.6,196,4700,male,2008
Adelie,Torgersen,36.700001,18.799999,187,3800,female,2008
Adelie,Torgersen,35.099998,19.4,193,4200,male,2008
Adelie,Dream,37.299999,17.799999,191,3350,female,2008
Adelie,Dream,41.299999,20.299999,194,3550,male,2008
Adelie,Dream,36.299999,19.5,190,3800,male,2008
Adelie,Dream,36.900002,18.6,189,3500,female,2008
Adelie,Dream,38.299999,19.200001,189,3950,male,2008
Adelie,Dream,38.900002,18.799999,190,3600,female,2008
Adelie,Dream,35.700001,18,202,3550,female,2008
Adelie,Dream,41.099998,18.1,205,4300,male,2008
Adelie,Dream,34,17.1,185,3400,female,2008
Adelie,Dream,39.599998,18.1,186,4450,male,2008
Adelie,Dream,36.200001,17.299999,187,3300,female,2008
Adelie,Dream,40.799999,18.9,208,4300,male,2008
Adelie,Dream,38.099998,18.6,190,3700,female,2008
Adelie,Dream,40.299999,18.5,196,4350,male,2008
Adelie,Dream,33.099998,16.1,178,2900,female,2008
Adelie,Dream,43.200001,18.5,192,4100,male,2008
Adelie,Biscoe,35,17.9,192,3725,female,2009
Adelie,Biscoe,41,20,203,4725,male,2009
Adelie,Biscoe,37.700001,16,183,3075,female,2009
Adelie,Biscoe,37.799999,20,190,4250,male,2009
Adelie,Biscoe,37.900002,18.6,193,2925,female,2009
Adelie,Biscoe,39.700001,18.9,184,3550,male,2009
Adelie,Biscoe,38.599998,17.200001,199,3750,female,2009
Adelie,Biscoe,38.200001,20,190,3900,male,2009
Adelie,Biscoe,38.099998,17,181,3175,female,2009
Adelie,Biscoe,43.200001,19,197,4775,male,2009
Adelie,Biscoe,38.099998,16.5,198,3825,female,2009
Adelie,Biscoe,45.599998,20.299999,191,4600,male,2009
Adelie,Biscoe,39.700001,17.700001,193,3200,female,2009
Adelie,Biscoe,42.200001,19.5,197,4275,male,2009
Adelie,Biscoe,39.599998,20.700001,191,3900,female,2009
Adelie,Biscoe,42.700001,18.299999,196,4075,male,2009
Adelie,Torgersen,38.599998,17,188,2900,female,2009
Adelie,Torgersen,37.299999,20.5,199,3775,male,2009
Adelie,Torgersen,35.700001,17,189,3350,female,2009
Adelie,Torgersen,41.099998,18.6,189,3325,male,2009
Adelie,Torgersen,36.200001,17.200001,187,3150,female,2009
Adelie,Torgersen,37.700001,19.799999,198,3500,male,2009
Adelie,Torgersen,40.200001,17,176,3450,female,2009
Adelie,Torgersen,41.400002,18.5,202,3875,male,2009
Adelie,Torgersen,35.200001,15.9,186,3050,female,2009
Adelie,Torgersen,40.599998,19,199,4000,male,2009
Adelie,Torgersen,38.799999,17.6,191,3275,female,2009
Adelie,Torgersen,41.5,18.299999,195,4300,male,2009
Adelie,Torgersen,39,17.1,191,3050,female,2009
Adelie,Torgersen,44.099998,18,210,4000,male,2009
Adelie,Torgersen,38.5,17.9,190,3325,female,2009
Adelie,Torgersen,43.099998,19.200001,197,3500,male,2009
Adelie,Dream,36.799999,18.5,193,3500,female,2009
Adelie,Dream,37.5,18.5,199,4475,male,2009
Adelie,Dream,38.099998,17.6,187,3425,female,2009
Adelie,Dream,41.099998,17.5,190,3900,male,2009
Adelie,Dream,35.599998,17.5,191,3175,female,2009
Adelie,Dream,40.200001,20.1,200,3975,male,2009
Adelie,Dream,37,16.5,185,3400,female,2009
Adelie,Dream,39.700001,17.9,193,4250,male,2009
Adelie,Dream,40.200001,17.1,193,3400,female,2009
Adelie,Dream,40.599998,17.200001,187,3475,male,2009
Adelie,Dream,32.099998,15.5,188,3050,female,2009
Adelie,Dream,40.700001,17,190,3725,male,2009
Adelie,Dream,37.299999,16.799999,192,3000,female,2009
Adelie,Dream,39,18.700001,185,3650,male,2009
Adelie,Dream,39.200001,18.6,190,4250,male,2009
Adelie,Dream,36.599998,18.4,184,3475,female,2009
Adelie,Dream,36,17.799999,195,3450,female,2009
Adelie,Dream,37.799999,18.1,193,3750,male,2009
Adelie,Dream,36,17.1,187,3700,female,2009
Adelie,Dream,41.5,18.5,201,4000,male,2009
Gentoo,Biscoe,46.099998,13.2,211,4500,female,2007
Gentoo,Biscoe,50,16.299999,230,5700,male,2007
Gentoo,Biscoe,48.700001,14.1,210,4450,female,2007
Gentoo,Biscoe,50,15.2,218,5700,male,2007
Gentoo,Biscoe,47.599998,14.5,215,5400,male,2007
Gentoo,Biscoe,46.5,13.5,210,4550,female,2007
Gentoo,Biscoe,45.400002,14.6,211,4800,female,2007
Gentoo,Biscoe,46.700001,15.3,219,5200,male,2007
Gentoo,Biscoe,43.299999,13.4,209,4400,female,2007
Gentoo,Biscoe,46.799999,15.4,215,5150,male,2007
Gentoo,Biscoe,40.900002,13.7,214,4650,female,2007
Gentoo,Biscoe,49,16.1,216,5550,male,2007
Gentoo,Biscoe,45.5,13.7,214,4650,female,2007
Gentoo,Biscoe,48.400002,14.6,213,5850,male,2007
Gentoo,Biscoe,45.799999,14.6,210,4200,female,2007
Gentoo,Biscoe,49.299999,15.7,217,5850,male,2007
Gentoo,Biscoe,42,13.5,210,4150,female,2007
Gentoo,Biscoe,49.200001,15.2,221,6300,male,2007
Gentoo,Biscoe,46.200001,14.5,209,4800,female,2007
Gentoo,Biscoe,48.700001,15.1,222,5350,male,2007
Gentoo,Biscoe,50.200001,14.3,218,5700,male,2007
Gentoo,Biscoe,45.099998,14.5,215,5000,female,2007
Gentoo,Biscoe,46.5,14.5,213,4400,female,2007
Gentoo,Biscoe,46.299999,15.8,215,5050,male,2007
Gentoo,Biscoe,42.900002,13.1,215,5000,female,2007
Gentoo,Biscoe,46.099998,15.1,215,5100,male,2007
Gentoo,Biscoe,44.5,14.3,216,4100,NA,2007
Gentoo,Biscoe,47.799999,15,215,5650,male,2007
Gentoo,Biscoe,48.200001,14.3,210,4600,female,2007
Gentoo,Biscoe,50,15.3,220,5550,male,2007
Gentoo,Biscoe,47.299999,15.3,222,5250,male,2007
Gentoo,Biscoe,42.799999,14.2,209,4700,female,2007
Gentoo,Biscoe,45.099998,14.5,207,5050,female,2007
Gentoo,Biscoe,59.599998,17,230,6050,male,2007
Gentoo,Biscoe,49.099998,14.8,220,5150,female,2008
Gentoo,Biscoe,48.400002,16.299999,220,5400,male,2008
Gentoo,Biscoe,42.599998,13.7,213,4950,female,2008
Gentoo,Biscoe,44.400002,17.299999,219,5250,male,2008
Gentoo,Biscoe,44,13.6,208,4350,female,2008
Gentoo,Biscoe,48.700001,15.7,208,5350,male,2008
Gentoo,Biscoe,42.700001,13.7,208,3950,female,2008
Gentoo,Biscoe,49.599998,16,225,5700,male,2008
Gentoo,Biscoe,45.299999,13.7,210,4300,female,2008
Gentoo,Biscoe,49.599998,15,216,4750,male,2008
Gentoo,Biscoe,50.5,15.9,222,5550,male,2008
Gentoo,Biscoe,43.599998,13.9,217,4900,female,2008
Gentoo,Biscoe,45.5,13.9,210,4200,female,2008
Gentoo,Biscoe,50.5,15.9,225,5400,male,2008
Gentoo,Biscoe,44.900002,13.3,213,5100,female,2008
Gentoo,Biscoe,45.200001,15.8,215,5300,male,2008
Gentoo,Biscoe,46.599998,14.2,210,4850,female,2008
Gentoo,Biscoe,48.5,14.1,220,5300,male,2008
Gentoo,Biscoe,45.099998,14.4,210,4400,female,2008
Gentoo,Biscoe,50.099998,15,225,5000,male,2008
Gentoo,Biscoe,46.5,14.4,217,4900,female,2008
Gentoo,Biscoe,45,15.4,220,5050,male,2008
Gentoo,Biscoe,43.799999,13.9,208,4300,female,2008
Gentoo,Biscoe,45.5,15,220,5000,male,2008
Gentoo,Biscoe,43.200001,14.5,208,4450,female,2008
Gentoo,Biscoe,50.400002,15.3,224,5550,male,2008
Gentoo,Biscoe,45.299999,13.8,208,4200,female,2008
Gentoo,Biscoe,46.200001,14.9,221,5300,male,2008
Gentoo,Biscoe,45.700001,13.9,214,4400,female,2008
Gentoo,Biscoe,54.299999,15.7,231,5650,male,2008
Gentoo,Biscoe,45.799999,14.2,219,4700,female,2008
Gentoo,Biscoe,49.799999,16.799999,230,5700,male,2008
Gentoo,Biscoe,46.200001,14.4,214,4650,NA,2008
Gentoo,Biscoe,49.5,16.200001,229,5800,male,2008
Gentoo,Biscoe,43.5,14.2,220,4700,female,2008
Gentoo,Biscoe,50.700001,15,223,5550,male,2008
Gentoo,Biscoe,47.700001,15,216,4750,female,2008
Gentoo,Biscoe,46.400002,15.6,221,5000,male,2008
Gentoo,Biscoe,48.200001,15.6,221,5100,male,2008
Gentoo,Biscoe,46.5,14.8,217,5200,female,2008
Gentoo,Biscoe,46.400002,15,216,4700,female,2008
Gentoo,Biscoe,48.599998,16,230,5800,male,2008
Gentoo,Biscoe,47.5,14.2,209,4600,female,2008
Gentoo,Biscoe,51.099998,16.299999,220,6000,male,2008
Gentoo,Biscoe,45.200001,13.8,215,4750,female,2008
Gentoo,Biscoe,45.200001,16.4,223,5950,male,2008
Gentoo,Biscoe,49.099998,14.5,212,4625,female,2009
Gentoo,Biscoe,52.5,15.6,221,5450,male,2009
Gentoo,Biscoe,47.400002,14.6,212,4725,female,2009
Gentoo,Biscoe,50,15.9,224,5350,male,2009
Gentoo,Biscoe,44.900002,13.8,212,4750,female,2009
Gentoo,Biscoe,50.799999,17.299999,228,5600,male,2009
Gentoo,Biscoe,43.400002,14.4,218,4600,female,2009
Gentoo,Biscoe,51.299999,14.2,218,5300,male,2009
Gentoo,Biscoe,47.5,14,212,4875,female,2009
Gentoo,Biscoe,52.099998,17,230,5550,male,2009
Gentoo,Biscoe,47.5,15,218,4950,female,2009
Gentoo,Biscoe,52.200001,17.1,228,5400,male,2009
Gentoo,Biscoe,45.5,14.5,212,4750,female,2009
Gentoo,Biscoe,49.5,16.1,224,5650,male,2009
Gentoo,Biscoe,44.5,14.7,214,4850,female,2009
Gentoo,Biscoe,50.799999,15.7,226,5200,male,2009
Gentoo,Biscoe,49.400002,15.8,216,4925,male,2009
Gentoo,Biscoe,46.900002,14.6,222,4875,female,2009
Gentoo,Biscoe,48.400002,14.4,203,4625,female,2009
Gentoo,Biscoe,51.099998,16.5,225,5250,male,2009
Gentoo,Biscoe,48.5,15,219,4850,female,2009
Gentoo,Biscoe,55.900002,17,228,5600,male,2009
Gentoo,Biscoe,47.200001,15.5,215,4975,female,2009
Gentoo,Biscoe,49.099998,15,228,5500,male,2009
Gentoo,Biscoe,47.299999,13.8,216,4725,NA,2009
Gentoo,Biscoe,46.799999,16.1,215,5500,male,2009
Gentoo,Biscoe,41.700001,14.7,210,4700,female,2009
Gentoo,Biscoe,53.400002,15.8,219,5500,male,2009
Gentoo,Biscoe,43.299999,14,208,4575,female,2009
Gentoo,Biscoe,48.099998,15.1,209,5500,male,2009
Gentoo,Biscoe,50.5,15.2,216,5000,female,2009
Gentoo,Biscoe,49.799999,15.9,229,5950,male,2009
Gentoo,Biscoe,43.5,15.2,213,4650,female,2009
Gentoo,Biscoe,51.5,16.299999,230,5500,male,2009
Gentoo,Biscoe,46.200001,14.1,217,4375,female,2009
Gentoo,Biscoe,55.099998,16,230,5850,male,2009
Gentoo,Biscoe,44.5,15.7,217,4875,NA,2009
Gentoo,Biscoe,48.799999,16.200001,222,6000,male,2009
Gentoo,Biscoe,47.200001,13.7,214,4925,female,2009
Gentoo,Biscoe,46.799999,14.3,215,4850,female,2009
Gentoo,Biscoe,50.400002,15.7,222,5750,male,2009
Gentoo,Biscoe,45.200001,14.8,212,5200,female,2009
Gentoo,Biscoe,49.900002,16.1,213,5400,male,2009
Chinstrap,Dream,46.5,17.9,192,3500,female,2007
Chinstrap,Dream,50,19.5,196,3900,male,2007
Chinstrap,Dream,51.299999,19.200001,193,3650,male,2007
Chinstrap,Dream,45.400002,18.700001,188,3525,female,2007
Chinstrap,Dream,52.700001,19.799999,197,3725,male,2007
Chinstrap,Dream,45.200001,17.799999,198,3950,female,2007
Chinstrap,Dream,46.099998,18.200001,178,3250,female,2007
Chinstrap,Dream,51.299999,18.200001,197,3750,male,2007
Chinstrap,Dream,46,18.9,195,4150,female,2007
Chinstrap,Dream,51.299999,19.9,198,3700,male,2007
Chinstrap,Dream,46.599998,17.799999,193,3800,female,2007
Chinstrap,Dream,51.700001,20.299999,194,3775,male,2007
Chinstrap,Dream,47,17.299999,185,3700,female,2007
Chinstrap,Dream,52,18.1,201,4050,male,2007
Chinstrap,Dream,45.900002,17.1,190,3575,female,2007
Chinstrap,Dream,50.5,19.6,201,4050,male,2007
Chinstrap,Dream,50.299999,20,197,3300,male,2007
Chinstrap,Dream,58,17.799999,181,3700,female,2007
Chinstrap,Dream,46.400002,18.6,190,3450,female,2007
Chinstrap,Dream,49.200001,18.200001,195,4400,male,2007
Chinstrap,Dream,42.400002,17.299999,181,3600,female,2007
Chinstrap,Dream,48.5,17.5,191,3400,male,2007
Chinstrap,Dream,43.200001,16.6,187,2900,female,2007
Chinstrap,Dream,50.599998,19.4,193,3800,male,2007
Chinstrap,Dream,46.700001,17.9,195,3300,female,2007
Chinstrap,Dream,52,19,197,4150,male,2007
Chinstrap,Dream,50.5,18.4,200,3400,female,2008
Chinstrap,Dream,49.5,19,200,3800,male,2008
Chinstrap,Dream,46.400002,17.799999,191,3700,female,2008
Chinstrap,Dream,52.799999,20,205,4550,male,2008
Chinstrap,Dream,40.900002,16.6,187,3200,female,2008
Chinstrap,Dream,54.200001,20.799999,201,4300,male,2008
Chinstrap,Dream,42.5,16.700001,187,3350,female,2008
Chinstrap,Dream,51,18.799999,203,4100,male,2008
Chinstrap,Dream,49.700001,18.6,195,3600,male,2008
Chinstrap,Dream,47.5,16.799999,199,3900,female,2008
Chinstrap,Dream,47.599998,18.299999,195,3850,female,2008
Chinstrap,Dream,52,20.700001,210,4800,male,2008
Chinstrap,Dream,46.900002,16.6,192,2700,female,2008
Chinstrap,Dream,53.5,19.9,205,4500,male,2008
Chinstrap,Dream,49,19.5,210,3950,male,2008
Chinstrap,Dream,46.200001,17.5,187,3650,female,2008
Chinstrap,Dream,50.900002,19.1,196,3550,male,2008
Chinstrap,Dream,45.5,17,196,3500,female,2008
Chinstrap,Dream,50.900002,17.9,196,3675,female,2009
Chinstrap,Dream,50.799999,18.5,201,4450,male,2009
Chinstrap,Dream,50.099998,17.9,190,3400,female,2009
Chinstrap,Dream,49,19.6,212,4300,male,2009
Chinstrap,Dream,51.5,18.700001,187,3250,male,2009
Chinstrap,Dream,49.799999,17.299999,198,3675,female,2009
Chinstrap,Dream,48.099998,16.4,199,3325,female,2009
Chinstrap,Dream,51.400002,19,201,3950,male,2009
Chinstrap,Dream,45.700001,17.299999,193,3600,female,2009
Chinstrap,Dream,50.700001,19.700001,203,4050,male,2009
Chinstrap,Dream,42.5,17.299999,187,3350,female,2009
Chinstrap,Dream,52.200001,18.799999,197,3450,male,2009
Chinstrap,Dream,45.200001,16.6,191,3250,female,2009
Chinstrap,Dream,49.299999,19.9,203,4050,male,2009
Chinstrap,Dream,50.200001,18.799999,202,3800,male,2009
Chinstrap,Dream,45.599998,19.4,194,3525,female,2009
Chinstrap,Dream,51.900002,19.5,206,3950,male,2009
Chinstrap,Dream,46.799999,16.5,189,3650,female,2009
Chinstrap,Dream,45.700001,17,195,3650,female,2009
Chinstrap,Dream,55.799999,19.799999,207,4000,male,2009
Chinstrap,Dream,43.5,18.1,202,3400,female,2009
Chinstrap,Dream,49.599998,18.200001,193,3775,male,2009
Chinstrap,Dream,50.799999,19,210,4100,male,2009
Chinstrap,Dream,50.200001,18.700001,198,3775,female,2009
